epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
37,1276.13,1.6606,1.29895,1.23364,0.00493,0.72548,0.82162,0.78117,0.30413,1.62704,1.35059,1.17642,0.00126,0.0017624,0.0017624,0.0017624
38,1361.57,1.65728,1.26882,1.22719,0.00412,0.74301,0.81731,0.76856,0.31836,1.62617,1.37238,1.17266,0.00136,0.0017558,0.0017558,0.0017558
39,1439.56,1.65977,1.27995,1.25925,0.0043,0.79309,0.86538,0.83239,0.35946,1.56361,1.29047,1.16548,0.00104,0.0017492,0.0017492,0.0017492
40,1523.26,1.65834,1.26754,1.23373,0.00417,0.75655,0.81731,0.78088,0.30855,1.60229,1.32408,1.18307,0.00107,0.0017426,0.0017426,0.0017426
41,1606.58,1.6368,1.25557,1.20672,0.00461,0.77815,0.80769,0.81491,0.34895,1.60954,1.28093,1.16652,0.00126,0.001736,0.001736,0.001736
42,1692.58,1.65158,1.27092,1.18943,0.004,0.75631,0.79808,0.73246,0.30109,1.63559,1.31373,1.12243,0.00111,0.0017294,0.0017294,0.0017294
43,1767.38,1.67883,1.28536,1.19545,0.00436,0.72407,0.83266,0.79873,0.33412,1.56223,1.29564,1.1486,0.00101,0.0017228,0.0017228,0.0017228
44,1853.16,1.61709,1.25081,1.19622,0.00418,0.75028,0.84743,0.81148,0.34901,1.55733,1.27261,1.13391,0.00114,0.0017162,0.0017162,0.0017162
45,50.1048,1.63304,1.23773,1.2109,0.00383,0.7229,0.84295,0.7677,0.33551,1.58403,1.29404,1.18291,0.00099,0.0017096,0.0017096,0.0017096
46,87.4974,1.635,1.27132,1.18954,0.0041,0.82352,0.84615,0.85983,0.36148,1.59127,1.29607,1.15838,0.00105,0.001703,0.001703,0.001703
47,114.636,1.58767,1.25364,1.2128,0.00447,0.83286,0.88462,0.85896,0.36394,1.53319,1.23702,1.17008,0.00093,0.0016964,0.0016964,0.0016964
48,140.169,1.61932,1.23139,1.19539,0.00415,0.72719,0.84615,0.76522,0.33038,1.57727,1.24516,1.16218,0.00098,0.0016898,0.0016898,0.0016898
49,165.274,1.63077,1.2458,1.21773,0.00454,0.76925,0.86218,0.79596,0.34088,1.56095,1.26083,1.14302,0.00098,0.0016832,0.0016832,0.0016832
50,194.723,1.58621,1.22176,1.17567,0.0041,0.74843,0.83013,0.78953,0.32674,1.51753,1.28483,1.15007,0.00095,0.0016766,0.0016766,0.0016766
51,223.388,1.60111,1.22741,1.17442,0.00386,0.76063,0.86572,0.8011,0.35129,1.51792,1.25053,1.12385,0.00102,0.00167,0.00167,0.00167
52,249.333,1.56085,1.20496,1.15802,0.00489,0.8236,0.86792,0.85459,0.37373,1.54677,1.20008,1.13508,0.00117,0.0016634,0.0016634,0.0016634
53,275.95,1.57563,1.19442,1.16194,0.00381,0.79959,0.88141,0.82166,0.34336,1.5947,1.24118,1.13044,0.00108,0.0016568,0.0016568,0.0016568
54,308.81,1.59606,1.21,1.18209,0.0038,0.84276,0.8761,0.86642,0.38643,1.55594,1.19675,1.17747,0.001,0.0016502,0.0016502,0.0016502
55,341.381,1.59491,1.22164,1.18634,0.00455,0.75045,0.84615,0.83142,0.34637,1.50567,1.24176,1.14119,0.00095,0.0016436,0.0016436,0.0016436
56,374.313,1.55193,1.20693,1.15644,0.00357,0.79359,0.86258,0.86897,0.38994,1.50186,1.22508,1.14533,0.00099,0.001637,0.001637,0.001637
57,407.848,1.56485,1.20467,1.18165,0.00384,0.78297,0.88141,0.8619,0.38715,1.51666,1.20215,1.16624,0.00099,0.0016304,0.0016304,0.0016304
58,437.957,1.57877,1.20862,1.16454,0.00423,0.81486,0.86053,0.85107,0.37579,1.55912,1.19559,1.13034,0.00091,0.0016238,0.0016238,0.0016238
59,467.448,1.56419,1.18815,1.16576,0.00341,0.86073,0.86538,0.87168,0.38488,1.52054,1.20179,1.10131,0.0009,0.0016172,0.0016172,0.0016172
60,492.902,1.58564,1.22224,1.15772,0.00393,0.77468,0.86859,0.84415,0.34453,1.54094,1.2324,1.11754,0.00106,0.0016106,0.0016106,0.0016106
61,518.126,1.56758,1.21551,1.14447,0.00384,0.81081,0.87909,0.84937,0.38283,1.51367,1.22581,1.11464,0.0009,0.001604,0.001604,0.001604
62,543.33,1.57475,1.18259,1.15926,0.00422,0.82077,0.875,0.88913,0.4038,1.49498,1.18069,1.12385,0.00096,0.0015974,0.0015974,0.0015974
63,568.715,1.54847,1.19279,1.15387,0.00426,0.81671,0.87179,0.86977,0.41364,1.5048,1.21062,1.09443,0.00102,0.0015908,0.0015908,0.0015908
64,594.038,1.59225,1.22147,1.15263,0.0044,0.83766,0.88141,0.86373,0.39338,1.45527,1.18406,1.10449,0.00094,0.0015842,0.0015842,0.0015842
65,619.385,1.57137,1.20521,1.1527,0.00423,0.77349,0.87179,0.86588,0.37787,1.51639,1.22069,1.10951,0.00099,0.0015776,0.0015776,0.0015776
66,644.762,1.59055,1.20837,1.1747,0.00447,0.75158,0.82424,0.80663,0.34471,1.53854,1.26808,1.12988,0.00099,0.001571,0.001571,0.001571
67,670.003,1.55392,1.22197,1.16781,0.00452,0.76427,0.86249,0.83359,0.38095,1.50539,1.22036,1.11812,0.00109,0.0015644,0.0015644,0.0015644
68,695.099,1.5542,1.20106,1.148,0.00469,0.77879,0.8463,0.82419,0.37025,1.48741,1.22323,1.11352,0.00095,0.0015578,0.0015578,0.0015578
69,721.024,1.55243,1.16526,1.14489,0.00372,0.78815,0.88236,0.88302,0.39306,1.50785,1.20551,1.11451,0.00087,0.0015512,0.0015512,0.0015512
70,746.499,1.55597,1.17197,1.13877,0.00357,0.80943,0.89744,0.86123,0.38802,1.49267,1.1879,1.10563,0.0008,0.0015446,0.0015446,0.0015446
71,776.592,1.51766,1.14989,1.14521,0.00428,0.82383,0.87179,0.86508,0.38661,1.48369,1.19842,1.09576,0.00093,0.001538,0.001538,0.001538
72,810.107,1.5296,1.15126,1.13685,0.00357,0.83425,0.90342,0.88539,0.38867,1.51117,1.17076,1.10413,0.001,0.0015314,0.0015314,0.0015314
73,841.028,1.54258,1.16218,1.13231,0.00401,0.83565,0.90064,0.88449,0.40819,1.50611,1.17254,1.11946,0.00107,0.0015248,0.0015248,0.0015248
74,877.203,1.5315,1.16885,1.17516,0.0035,0.8256,0.87179,0.87926,0.39445,1.48223,1.21054,1.10103,0.00086,0.0015182,0.0015182,0.0015182
75,914.319,1.5349,1.16303,1.15389,0.00406,0.84302,0.86538,0.85504,0.37267,1.47849,1.19096,1.0941,0.00098,0.0015116,0.0015116,0.0015116
76,951.782,1.52393,1.15666,1.12427,0.00414,0.84273,0.86859,0.86726,0.38915,1.48239,1.17477,1.09792,0.00088,0.001505,0.001505,0.001505
77,978.22,1.52287,1.14921,1.1414,0.00426,0.8244,0.89423,0.85578,0.36046,1.51517,1.19019,1.08621,0.00083,0.0014984,0.0014984,0.0014984
78,1003.92,1.53675,1.16381,1.14639,0.00395,0.80486,0.87251,0.83469,0.38319,1.48832,1.18072,1.10377,0.00086,0.0014918,0.0014918,0.0014918
79,1035.77,1.5129,1.17698,1.12234,0.00454,0.83346,0.88141,0.84405,0.36232,1.48226,1.20053,1.10571,0.00081,0.0014852,0.0014852,0.0014852
80,1067.73,1.50137,1.14067,1.12844,0.00355,0.86601,0.91667,0.90575,0.41825,1.46355,1.15263,1.10906,0.00076,0.0014786,0.0014786,0.0014786
81,1103.04,1.49607,1.14314,1.117,0.00271,0.75875,0.91729,0.81596,0.36462,1.48965,1.15487,1.08398,0.00084,0.001472,0.001472,0.001472
82,1137.02,1.51594,1.16218,1.11603,0.00394,0.80408,0.85502,0.806,0.36072,1.48345,1.21216,1.08489,0.00083,0.0014654,0.0014654,0.0014654
83,1171.59,1.51683,1.16273,1.1352,0.00416,0.84021,0.89103,0.87133,0.41591,1.44599,1.16597,1.07165,0.00075,0.0014588,0.0014588,0.0014588
84,1205.36,1.54138,1.14032,1.14811,0.00374,0.82875,0.88141,0.88535,0.44017,1.43549,1.12332,1.07909,0.00078,0.0014522,0.0014522,0.0014522
85,1239.03,1.53217,1.13337,1.10393,0.00371,0.86553,0.90385,0.89003,0.43378,1.41594,1.14234,1.05417,0.00082,0.0014456,0.0014456,0.0014456
86,1274.01,1.48546,1.12731,1.11818,0.00437,0.89764,0.875,0.91022,0.43076,1.42471,1.15447,1.05132,0.00083,0.001439,0.001439,0.001439
87,1306.15,1.52505,1.12367,1.11109,0.00334,0.86576,0.90953,0.89545,0.42424,1.45816,1.12693,1.06831,0.00095,0.0014324,0.0014324,0.0014324
88,1335.14,1.51343,1.12043,1.09987,0.00365,0.86527,0.875,0.8878,0.41659,1.4863,1.14573,1.06482,0.00092,0.0014258,0.0014258,0.0014258
89,1369.72,1.4927,1.11112,1.11594,0.00401,0.82875,0.89423,0.89679,0.43364,1.45861,1.11061,1.07702,0.00099,0.0014192,0.0014192,0.0014192
90,1404.24,1.4911,1.12523,1.11241,0.00331,0.85304,0.86218,0.90175,0.4256,1.43203,1.15124,1.05505,0.00084,0.0014126,0.0014126,0.0014126
91,1437.25,1.51017,1.14856,1.11422,0.00367,0.85819,0.89227,0.90799,0.4397,1.45345,1.12798,1.04198,0.00076,0.001406,0.001406,0.001406
92,1469.08,1.51475,1.16344,1.12521,0.00353,0.83091,0.89744,0.85296,0.38909,1.44295,1.16072,1.07506,0.00083,0.0013994,0.0013994,0.0013994
93,1499.59,1.50853,1.11503,1.13547,0.00371,0.85181,0.89423,0.89367,0.41372,1.45943,1.10823,1.10398,0.00078,0.0013928,0.0013928,0.0013928
94,1532.81,1.49305,1.11674,1.131,0.00387,0.80774,0.83487,0.84543,0.39818,1.49343,1.18286,1.06126,0.00073,0.0013862,0.0013862,0.0013862
95,1566.69,1.50271,1.11741,1.09387,0.0039,0.81982,0.90416,0.88819,0.41906,1.42443,1.12345,1.04405,0.00085,0.0013796,0.0013796,0.0013796
96,1600.3,1.49183,1.09791,1.09968,0.00387,0.85701,0.88782,0.88002,0.3936,1.45921,1.15327,1.05329,0.00078,0.001373,0.001373,0.001373
97,1633.91,1.48318,1.13017,1.12874,0.00355,0.84822,0.89423,0.85699,0.37069,1.50011,1.16355,1.08581,0.00088,0.0013664,0.0013664,0.0013664
98,1667.89,1.47973,1.11082,1.10697,0.00322,0.84913,0.89103,0.89937,0.42413,1.46583,1.141,1.06375,0.00076,0.0013598,0.0013598,0.0013598
99,1701.95,1.48546,1.11682,1.08383,0.00303,0.81839,0.91026,0.86786,0.40733,1.41664,1.14977,1.05225,0.00073,0.0013532,0.0013532,0.0013532
100,1735.06,1.46718,1.1007,1.09057,0.003,0.86966,0.9196,0.90647,0.42304,1.41576,1.12117,1.06465,0.00077,0.0013466,0.0013466,0.0013466
